job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
49595956,마케팅,2026-07-20 00:19:07,2026-07-20,주식회사 한강투자그룹,[주식 유튜브(DB) 촬영 전문가 모집] 최상급 채널 / 업계 최고 대우,"은행·금융, 마케팅기획, 콘텐츠마케터, 크리에이티브디렉터",서울 영등포구,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49595956
49579725,마케팅,2026-07-20 00:19:07,2026-07-20,셀럽 컴퍼니,[셀럽톡] 글로벌 크리에이터 플랫폼 마케팅 담당자 채용,"포털·컨텐츠·커뮤니티, 마케팅기획",서울 강남구,"경력2년↑
",,,https://www.jobkorea.co.kr/Recruit/GI_Read/49579725
49506642,마케팅,2026-07-20 00:19:07,2026-07-20,미네랄하우스,[화장품 닥터딥] 북미 인플루언서 마케터 및 MD 채용 (경력무관),"쇼핑몰·오픈마켓·소셜커머스, 경영·비즈니스기획, 마케팅기획, 브랜드마케터",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49506642
49577743,마케팅,2026-07-20 00:19:07,2026-07-20,콘텐츠제작본부 브랜드매니저 BM 채용,㈜데이지에스앤씨(Daygy S&C Inc.),"생활화학·화장품, 마케팅기획",서울 강남구 외 3,"경력3년↑
",,,https://www.jobkorea.co.kr/Recruit/GI_Read/49577743
49537354,마케팅,2026-07-20 00:19:07,2026-07-20,삼성생명보험삼성그룹,헤리티지센터 WMA (Wealth Management Advisor 부유층종합자산관리전문가) FC모집,"은행·금융, 컨설턴트, 금융영업, 보험설계사",서울 강남구 외 1,경력무관,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49537354
49527813,마케팅,2026-07-20 00:19:07,2026-07-20,원빌딩부동산중개㈜,[빌딩매매1위] 원빌딩부동산중개(주) 빌딩매매사업부 채용공고 윤중섭이사,"부동산·중개·임대, 컨설턴트, 제품영업, 서비스영업",서울 강남구 외 1,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49527813
49545700,마케팅,2026-07-20 00:19:07,2026-07-20,㈜휴메딕스,[휴온스그룹]휴메딕스 각 부문 경력직 수시채용,"제약·보건·바이오, 경영·비즈니스기획, 마케팅기획, PL·PM·PO",경기 성남시 외 5,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49545700
49600188,마케팅,2026-07-20 00:19:07,2026-07-20,도이치모터스㈜,[BMW도이치모터스㈜] 본사 마케팅팀 정규직 채용,"자동차·조선·철강·항공, 브랜드마케터, 온라인마케터, 홍보",서울 성동구,경력1년↑,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49600188
49449121,마케팅,2026-07-20 00:19:07,2026-07-20,티피링크,B2C 리테일 마케팅,"네트워크·통신서비스, 브랜드마케터, 콘텐츠마케터, 채널관리자",서울 영등포구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49449121
49503793,마케팅,2026-07-20 00:19:07,2026-07-20,㈜에듀서브,[민트영어] 프로그램팀 마케팅파트 온라인마케터 채용 (신입/경력 3년이하),"포털·컨텐츠·커뮤니티, 마케팅기획, 온라인마케터, 콘텐츠마케터",서울 구로구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49503793
