job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6242313,마케팅,2026-07-20 01:20:09,2026-07-16,더파운더즈,[ANUA] 중동/아랍 글로벌 인플루언서 마케팅 매니저,,서울 강남,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6242313
6242298,마케팅,2026-07-20 01:20:09,2026-07-16,엔터웨이파트너스,틱톡샵 운영 매니저 - K뷰티 아마존/이커머스 기업,,서울,인턴.신입 / 사원 / 대리.과장,,08.15,https://www.peoplenjob.com/jobs/6242298
6242227,마케팅,2026-07-20 01:20:09,2026-07-16,더파운더즈,[ANUA 아누아] 홍콩 인플루언서 마케팅 인턴,,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6242227
6242242,마케팅,2026-07-20 01:20:09,2026-07-16,IPX,Global Licensing Administrator,,경기 과천,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6242242
6241418,마케팅,2026-07-20 01:20:09,2026-07-15,바이어스도르프코리아,[Beiersdorf Korea] 유세린 메디컬 마케팅 인턴 모집,,서울,인턴.신입,,08.14,https://www.peoplenjob.com/jobs/6241418
6241470,마케팅,2026-07-20 01:20:09,2026-07-15,FrankStore,[콘텐츠 플랫폼/팬트리] 그로스 마케터 (Growth Marketer),,서울 / 서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6241470
6241409,마케팅,2026-07-20 01:20:09,2026-07-15,온리원파트너스(주),[글로벌패션기업] 브랜드마케팅 채용,,서울 강남구,인턴.신입 / 사원,,08.14,https://www.peoplenjob.com/jobs/6241409
6240773,마케팅,2026-07-20 01:20:09,2026-07-14,윈큐브마케팅,Business Development (BD) Manager – PG Partnerships & Catalog (1 opening),,서울 서초구,인턴.신입 / 사원 / 대리.과장,,08.13,https://www.peoplenjob.com/jobs/6240773
6240712,마케팅,2026-07-20 01:20:09,2026-07-14,더파운더즈,[ANUA 아누아] 한국 글로벌 뷰티 화장품 브랜드 퍼포먼스 마케팅 인턴,,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6240712
6240411,마케팅,2026-07-20 01:20:09,2026-07-14,MEMEBOX(미미박스),일본 인플루언서 마케팅 인턴 (채용연계형),,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6240411
6240795,마케팅,2026-07-20 01:20:09,2026-07-14,푸본현대생명,U 2026년 푸본현대생명 채용전환형 Internship_계리,,서울 여의도,인턴.신입,,07.20,https://www.peoplenjob.com/jobs/6240795
6240752,마케팅,2026-07-20 01:20:09,2026-07-14,윈큐브마케팅,Business Development (BD) Manager – Enterprise & Strategic Accounts (5+ years),,서울 서초구,인턴.신입 / 사원 / 대리.과장,,08.13,https://www.peoplenjob.com/jobs/6240752
6239616,마케팅,2026-07-20 01:20:09,2026-07-13,켄뷰,[켄뷰코리아] Account Manager (OTC Sales/1-3년),,서울 서대문구 / 서울 용산구 / 용산,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6239616
6239800,마케팅,2026-07-20 01:20:09,2026-07-13,더파운더즈,[프롬랩스] 콘텐츠 마케팅 단기 인턴,,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6239800
6239084,마케팅,2026-07-20 01:20:09,2026-07-12,(주)두비,"CNN, WBD, FT, TIME, WP 광고 영업 담당자 채용",,서울 중구,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6239084
6238598,마케팅,2026-07-20 01:20:09,2026-07-10,JNPartners Korea,주사제 마케팅-신입~과장급 [중견 제약사],,서울,인턴.신입 / 사원 / 대리.과장,,08.09,https://www.peoplenjob.com/jobs/6238598
6238496,마케팅,2026-07-20 01:20:09,2026-07-10,익스피다이터스 코리아,[Expeditors Korea] 물류 영업지원 신입사원 채용,,서울 / 서울 구로구,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6238496
6238209,마케팅,2026-07-20 01:20:09,2026-07-10,DOGU ROBOTICS,글로벌 세일즈 & 마케팅 매니저 (US Market),,서울 가산,인턴.신입 / 사원,,08.09,https://www.peoplenjob.com/jobs/6238209
6237757,마케팅,2026-07-20 01:20:09,2026-07-09,에이온코리아보험중개(주),"[Aon Korea] (신입·주니어경력) Account Manager, Health Solutions",,서울 / 서울 중구,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6237757
6237856,마케팅,2026-07-20 01:20:09,2026-07-09,JNPMEDI,[JNPMEDI] Business Operations Manager 모집,,서울 중구 / 인천 송도 국제 도시,인턴.신입 / 사원,,08.08,https://www.peoplenjob.com/jobs/6237856
6237808,마케팅,2026-07-20 01:20:09,2026-07-09,밀워키코리아,[Milwaukee Tool Korea] Product Specialist 경력 채용,,서울 서초구,인턴.신입 / 사원 / 대리.과장,,08.08,https://www.peoplenjob.com/jobs/6237808
6237547,마케팅,2026-07-20 01:20:09,2026-07-09,Asiance Korea,[Asiance Korea] Junior Project Manager,,서울 중구 / 재택근무,인턴.신입 / 사원,,08.31,https://www.peoplenjob.com/jobs/6237547
6237060,마케팅,2026-07-20 01:20:09,2026-07-08,The Pinkfong Company,[더핑크퐁컴퍼니] 일본 사업 마케팅 인턴 (전환형),,서울 / 서울 강남 / 서울 서초구,인턴.신입,,07.29,https://www.peoplenjob.com/jobs/6237060
