job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크,매칭타겟명,출처,공고ID,notify_key,rec_idx,날짜구분,고용형태
49994999,마케팅,2026-09-17 01:14:01,2026-09-17,㈜디지털대성,컨텐츠팀(교육 컨텐츠 기획/운영) 신입/경력 채용,"학원·어학원·교육원, 웹기획, 홍보, 교재개발·교수설계",서울 서초구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49994999,디지털대성,jobkorea,49994999,jobkorea:49994999,,,
,마케팅,2026-09-17 01:14:41,2026-09-16,HL 디앤아이한라 주식회사,"[HL 디앤아이한라] 개발부문(수주영업, 마케팅) 경력직 채용(정규직)","마케팅기획, ,, SNS마케팅, ,, CRM마케팅, ,, 온라인마케팅, ,, 마케팅전략, 외",서울 송파구,경력,대졸↑,~10/02(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55050611,HL디앤아이한라,saramin,55050611,saramin:55050611,55050611,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-16,(주)모나미,마케팅팀/디자인팀/IT운영팀/해외영업팀/TQM팀 경력•신입 채용,"영업마케팅, ,, 브랜드기획, ,, 영업, ,, 영업전략, ,, 영업기획, 외",경기 용인시 수지구,신입·경력,초대졸↑,~09/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55044086,모나미,saramin,55044086,saramin:55044086,55044086,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-16,메가스터디교육(주),하반기 마케팅(유초중) 신입/경력 채용,"마케팅기획, ,, SNS마케팅, ,, 온라인마케팅, ,, 마케팅전략, ,, 마케팅, 외","서울전체 , 서초구",신입·경력,대졸↑,~10/15(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55051578,메가스터디교육,saramin,55051578,saramin:55051578,55051578,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-15,애경산업(주),디지털마케팅 전략 파트장,"마케팅기획, ,, 퍼포먼스마케팅, ,, 마케팅전략, ,, 마케팅, ,, 디지털마케팅, 외",서울 마포구,경력 10~15년,대졸↑,~10/13(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55034865,애경산업,saramin,55034865,saramin:55034865,55034865,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-16,(주)뉴트리원,(주)뉴트리원 글로벌 틱톡샵 마케터 (신입),"SNS마케팅, ,, 온라인마케팅, ,, 글로벌마케팅, ,, IMC, ,, 디지털마케팅, 외",서울 송파구,신입,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55055648,뉴트리,saramin,55055648,saramin:55055648,55055648,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-15,(주)대현,(주)대현 온라인사업부 르하스팀 마케팅 경력직 채용,"인플루언서마케팅, ,, 바이럴마케팅, ,, 마케팅기획, ,, 콘텐츠기획, ,, 여성의류",서울 강남구,경력5년↑,초대졸↑,~10/15(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55039951,대현,saramin,55039951,saramin:55039951,55039951,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-17,(주)넵튠,퍼포먼스마케팅사업실 퍼포먼스 기획자 채용,"온라인마케팅, ,, 퍼포먼스마케팅, ,, 마케팅전략, ,, 마케팅, ,, 비즈니스마케팅, 외",서울 강남구,경력3년↑,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55060564,넵튠,saramin,55060564,saramin:55060564,55060564,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-15,(주)블루엠텍,의료/제약 플랫폼 광고마케팅 팀장 채용,"마케팅, ,, 광고마케팅, ,, 마케팅기획, ,, 광고기획, ,, 제약/바이오, 외","경기전체 , 성남시 , 성남시 수정구",경력 10~20년,대졸↑,~10/15(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55039601,블루엠텍,saramin,55039601,saramin:55039601,55039601,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-16,(주)녹십자웰빙,[GC녹십자그룹] 어니스트리 브랜드 마케팅,"마케팅, ,, 브랜드마케팅, ,, 건강보조식품",서울 성동구,경력 5~10년,대졸↑,~09/27(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55055462,녹십자웰빙,saramin,55055462,saramin:55055462,55055462,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-17,(주)넵튠,미드코어사업실 마케터 채용,"온라인마케팅, ,, 마케팅전략, ,, 마케팅, ,, 글로벌마케팅, ,, 비즈니스마케팅, 외",서울 강남구,경력3년↑,학력무관,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55060573,넵튠,saramin,55060573,saramin:55060573,55060573,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-15,애경산업(주),스킨케어 미주 마케터,"SNS마케팅, ,, 온라인마케팅, ,, 퍼포먼스마케팅, ,, 마케팅, ,, 글로벌마케팅, 외",서울 마포구,경력 5~10년,대졸↑,~10/13(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55034318,애경산업,saramin,55034318,saramin:55034318,55034318,수정일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-16,(주)달바글로벌,달바글로벌[d'Alba Global] 글로벌 그로스 마케팅 채용 (경력),"마케팅기획, ,, 온라인마케팅, ,, 퍼포먼스마케팅, ,, 해외영업, ,, 뷰티",서울 마포구,경력 2~4년,초대졸↑,~11/15(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55058271,달바글로벌,saramin,55058271,saramin:55058271,55058271,등록일,계약직
,마케팅,2026-09-17 01:14:41,2026-09-16,(주)더본코리아,더본코리아 CRM 마케터 모집,"CRM마케팅, ,, 프랜차이즈",서울 강남구,경력10년↑,초대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55052643,더본코리아,saramin,55052643,saramin:55052643,55052643,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-14,주식회사 엔케이젠바이오텍코리아,[엔케이젠바이오텍코리아] 온라인 마케팅 담당 경력 채용,"온라인마케팅, ,, 마케팅, ,, 생명공학",경기 수원시 영통구,경력3년↑,학력무관,~10/14(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55029790,엔케이,saramin,55029790,saramin:55029790,55029790,등록일,정규직
,마케팅,2026-09-17 01:14:41,2026-09-15,애경산업(주),스킨케어 일본 마케터,"SNS마케팅, ,, 온라인마케팅, ,, 퍼포먼스마케팅, ,, 마케팅, ,, 글로벌마케팅, 외",서울 마포구,경력 7~10년,대졸↑,~10/13(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=55034133,애경산업,saramin,55034133,saramin:55034133,55034133,수정일,정규직
