rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54219005,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,(주)레뷰코퍼레이션,REVU CASTING 인플루언서 마케팅 AE 채용,"블로그마케팅, ,, 마케팅, ,, 디지털마케팅, ,, 광고마케팅, ,, AE(광고기획자), 외",서울 강남구,경력무관,고졸↑,정규직,내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54219005
54308456,마케팅,2026-07-19 15:46:59,2026-07-10,수정일,소니코리아(주),신입/경력 (마케팅/영업/서비스관리/회계·세무) 채용,"마케팅기획, ,, 프로덕트마케팅, ,, 스포츠마케팅, ,, 온라인마케팅, ,, 마케팅전략, 외",서울전체,신입·경력,대졸↑,정규직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54308456
54320096,마케팅,2026-07-19 15:46:59,2026-07-16,수정일,(주)아이샵케어,토스플레이스 자회사 [iShopCARE] 대규모 채용｜ 영업·마케팅·인사·전략·CX·물류·AS·MD  外,"블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 프로덕트마케팅, ,, 온라인마케팅, 외",서울 강남구,신입·경력,학력무관,,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54320096
54475050,마케팅,2026-07-19 15:46:59,2026-07-16,수정일,꽃길코리아(유),글로벌이커머스마케팅/K-뷰티글로벌영업 및 마케팅/온라인MD/회계/세무/BM/PD/디자이너/상품기획,"마케팅기획, ,, SNS마케팅, ,, 콘텐츠마케팅, ,, 브랜드마케팅, ,, 광고기획, 외",서울전체,신입·경력,학력무관,정규직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54475050
54324143,마케팅,2026-07-19 15:46:59,2026-07-02,수정일,동아오츠카(주),동아오츠카 7월 수시채용 (경영전략 / 마케팅전략 / 품질보증),"마케팅전략, ,, 마케팅, ,, 총무, ,, 경영지원, ,, 통/번역, 외",서울 동대문구,신입·경력,대졸↑,,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54324143
54295673,마케팅,2026-07-19 15:46:59,2026-06-26,등록일,무인양품(주),[MUJI] 무인양품 마케팅크리에이티브팀 브랜드 마케터 경력 채용,"온라인마케팅, ,, 마케팅전략, ,, 마케팅, ,, 오프라인마케팅, ,, 콘텐츠마케팅, 외",서울 중구,경력 7~9년,대졸↑,정규직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54295673
54427880,마케팅,2026-07-19 15:46:59,2026-07-10,수정일,케이씨씨오토리움(주),[아우디 공식딜러사]각 부문채용(영업/서비스/계출/마케팅/인사),"온라인마케팅, ,, 마케팅, ,, 오프라인마케팅, ,, 디지털마케팅, ,, 콘텐츠마케팅, 외",서울 송파구,신입·경력,학력무관,정규직·인턴직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54427880
54469814,마케팅,2026-07-19 15:46:59,2026-07-15,수정일,(주)아모레퍼시픽,[경력] '26년 AMOREPACIFIC 채용_국내/글로벌 상품개발 마케팅,"마케팅전략, ,, 마케팅, ,, 브랜드마케팅, ,, 상품관리, ,, 상품분석, 외",서울전체,경력3년↑,대졸↑,정규직,~07/28(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54469814
54382752,마케팅,2026-07-19 15:46:59,2026-07-06,등록일,젤리피쉬엔터테인먼트(주),젤리피쉬엔터테인먼트(주) 마케팅 담당자 채용,"마케팅전략, ,, 마케팅, ,, 바이럴마케팅, ,, 마케팅기획, ,, 연예, 외",서울 강남구,경력무관,학력무관,,~08/05(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54382752
54365312,마케팅,2026-07-19 15:46:59,2026-07-14,수정일,(주)바이오다인,"㈜바이오다인 사업 다각화·글로벌 확장에 따른 전 부문 수시채용(인사/총무, 회계/재무/공시, 해외 마케팅/무역, 품질관리)","마케팅전략, ,, 마케팅, ,, 글로벌마케팅, ,, 마케팅기획, ,, 거래처관리, 외",서울전체,경력,대졸↑,정규직,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54365312
54339115,마케팅,2026-07-19 15:46:59,2026-07-03,수정일,(주)와우바이오텍,[리포데이] 마케팅/영상/컨텐츠/인플루언서/영업 담당자 모집,"블로그마케팅, ,, SNS마케팅, ,, CRM마케팅, ,, 온라인마케팅, ,, 퍼포먼스마케팅, 외",서울전체,신입·경력,학력무관,정규직,~08/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54339115
54338992,마케팅,2026-07-19 15:46:59,2026-07-03,수정일,(주)와우바이오텍,[K뷰티] 약국영업/MD/마케팅/영업지원/해외담당자 모집,"마케팅기획, ,, SNS마케팅, ,, 온라인마케팅, ,, 마케팅전략, ,, 마케팅, 외",서울전체,신입·경력,학력무관,정규직,~08/03(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54338992
54191153,마케팅,2026-07-19 15:46:59,2026-07-16,수정일,압타바이오(주),[코스닥 상장사] 펫 브랜드 '리카리카' 마케팅(대리급) 채용,"블로그마케팅, ,, SNS마케팅, ,, CRM마케팅, ,, 퍼포먼스마케팅, ,, 마케팅전략, 외",서울 성동구,경력3년↑,초대졸↑,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54191153
54450922,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,(주)하이업엔터테인먼트,[하이업엔터테인먼트] 팬마케팅팀 채용(팬마케팅 파트),"블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 마케팅전략, ,, 마케팅, 외",서울 마포구,경력1년↑,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54450922
54282196,마케팅,2026-07-19 15:46:59,2026-06-25,수정일,(주)미래아이엔씨,[네이버/카카오 공식파트너사] 온라인 마케팅 AE 신입/경력 채용,"블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 프로덕트마케팅, ,, CRM마케팅, 외",서울 금천구,신입·경력,학력무관,정규직,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54282196
54226250,마케팅,2026-07-19 15:46:59,2026-07-16,수정일,한국미즈노(주),한국미즈노(주) 스포츠사업본부 기획부 마케팅팀 채용(계약직),"SNS마케팅, ,, 스포츠마케팅, ,, 온라인마케팅, ,, 마케팅전략, ,, IMC, 외",서울 마포구,신입·경력,대졸↑,계약직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54226250
54474620,마케팅,2026-07-19 15:46:59,2026-07-15,수정일,(주)동아일보사,"(주)동아일보사 미래전략연구소 인턴 선발(마케팅, 디자인)","SNS마케팅, ,, 마케팅전략, ,, 마케팅기획, ,, 영상제작, ,, 영상편집, 외",서울 서대문구,경력무관,초대졸↑,인턴직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54474620
54352612,마케팅,2026-07-19 15:46:59,2026-07-02,등록일,(주)소노인터내셔널,[소노 스카이거너스 프로농구단] 스포츠마케팅 신입/경력 채용,"마케팅, ,, 호텔, ,, 관광",경기 고양시 일산서구,신입·경력,대졸↑,정규직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54352612
54469578,마케팅,2026-07-19 15:46:59,2026-07-16,수정일,대덕전자(주),대덕전자 (PCB) 법무/마케팅(국내/글로벌) 인력 채용,"마케팅, ,, B2B마케팅, ,, 영업마케팅, ,, 영업관리, ,, 영업기획, 외",경기 안산시 단원구,신입·경력,대졸↑,정규직,~09/13(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54469578
54419640,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,(주)파미,"2026년 각 부문별 신입/경력 채용 (S/W 개발실, 시스템 개발실(기구 설계, 전장/제어 설계), 해외영업(중국, 유럽, 미국), 해외서비스, 영업지원팀(무역), 마케팅)","블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 프로덕트마케팅, ,, CRM마케팅, 외",대전전체,신입·경력,초대졸↑,정규직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54419640
54409827,마케팅,2026-07-19 15:46:59,2026-07-08,수정일,(주)맨파워코리아,[공주/글로벌기업/경력무관] 마케팅팀 사무직 채용,"블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 온라인마케팅, ,, 마케팅전략, 외",대전전체,경력무관,학력무관,,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54409827
54445433,마케팅,2026-07-19 15:46:59,2026-07-15,수정일,(주)카카오,카카오메이커스 서비스 마케팅_어시스턴트,"마케팅기획, ,, SNS마케팅, ,, 마케팅전략, ,, 마케팅, ,, 콘텐츠마케팅, 외",경기 성남시 분당구,경력무관,학력무관,인턴직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54445433
54429889,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,한국콜마(주),"26년 7월 한국콜마 경력사원채용(화장품연구, 마케팅, 납기관리)","납기관리, ,, 화공",세종특별자치시,경력3년↑,대졸↑,정규직,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54429889
54244284,마케팅,2026-07-19 15:46:59,2026-07-08,수정일,(주)노디너리,(주)노디너리 화장품 수시모집(영업/마케팅/품질),"영업마케팅, ,, 영업기획, ,, 영업전략, ,, 영업지원, ,, 총무, 외",경기 화성시 동탄구,경력무관,학력무관,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54244284
54353412,마케팅,2026-07-19 15:46:59,2026-07-14,수정일,쿠팡(주),[쿠팡이츠] 프로모션 캠페인 마케팅 지원 (계약직/재택병행),"퍼포먼스마케팅, ,, 마케팅, ,, 디지털마케팅, ,, 광고캠페인, ,, 시장조사, 외",서울 강남구,신입,대졸↑,계약직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54353412
54485587,마케팅,2026-07-19 15:46:59,2026-07-19,수정일,쿠팡(주),[쿠팡] 마케팅 오퍼레이션 담당자 (경력 3년 이상),"CRM마케팅, ,, 온라인마케팅, ,, 퍼포먼스마케팅, ,, 마케팅전략, ,, 마케팅, 외",서울 강남구,경력 3~7년,대졸↑,정규직,~08/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54485587
54442606,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,(주)우아한형제들,마케팅 운영지원(B마트 CRM),"마케팅기획, ,, CRM마케팅, ,, 마케팅전략, ,, 마케팅, ,, 마케팅기획, 외",서울 송파구,신입·경력,초대졸↑,,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54442606
54242277,마케팅,2026-07-19 15:46:59,2026-07-10,수정일,삼진식품(주),[삼진어묵] 디지털마케팅 경력사원 채용,"프로덕트마케팅, ,, CRM마케팅, ,, 온라인마케팅, ,, 마케팅전략, ,, 마케팅, 외",서울 송파구,경력 2~6년,대졸↑,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54242277
54451542,마케팅,2026-07-19 15:46:59,2026-07-13,수정일,(주)대경오앤티,(주)대경오앤티 마케팅팀 신입 및 경력 채용,"마케팅, ,, 영업, ,, B2B, ,, 기타제조업, ,, 제조업 회사본사",서울 마포구,신입·경력,대졸↑,정규직,~08/12(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54451542
54416221,마케팅,2026-07-19 15:46:59,2026-07-10,수정일,(주)에이피알,[마케팅] 포맨트 온라인 마케팅 경력사원 모집,"SNS마케팅, ,, 온라인마케팅, ,, 마케팅전략, ,, 마케팅, ,, 콘텐츠마케팅, 외",서울 송파구,경력 2~5년,대졸↑,정규직,~08/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54416221
54392740,마케팅,2026-07-19 15:46:59,2026-07-07,수정일,데미코리아(주),2026년도 마케팅 기획팀 모집,"블로그마케팅, ,, 마케팅기획, ,, SNS마케팅, ,, 온라인마케팅, ,, 마케팅전략, 외",서울 금천구,신입,초대졸↑,정규직,~07/21(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54392740
54464349,마케팅,2026-07-19 15:46:59,2026-07-15,수정일,(주)에스제이그룹,캉골 키즈 마케팅 인턴 채용,"온라인마케팅, ,, 마케팅전략, ,, 마케팅, ,, 디지털마케팅, ,, 콘텐츠마케팅, 외",서울전체,신입,대졸↑,인턴직,~08/13(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54464349
54334585,마케팅,2026-07-19 15:46:59,2026-07-01,등록일,법무법인(유) 율촌,[법무법인(유) 율촌] 전략마케팅팀 채용공고,"마케팅, ,, 마케팅기획, ,, 법률사무소, ,, 로펌, ,, 법무법인",서울전체,경력무관,대졸↑,,,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54334585
